Query	gem07080s1v1	gem08095s1v1	gem11788s1v1	gem11802s1v1	gem11806s1v1	gem11804s1v1	Met7028_bin9	Met7034_bin2	Met8734_bin1	Met7045_bin12	Met7051_bin5	Met7056_bin5	Met8747_bin1	Met9023_bin5	Met8762_bin6	Met9029_bin2	Met9046_bin6	Met9054_bin3	Met9060_bin11	Met9070_bin2	Met9075_bin31	Met9055_bin21	Met9061_bin16	Met8764_bin15	Met9083_bin10	Met9087_bin5	Met7035_bin1	Met8794_bin4	Met8813_bin2	Met9106_bin1	Met9111_bin5	Met9123_bin26	Met9126_bin29
gem07080s1v1	100	99.809	99.8919	99.8079	99.8273	97.1324	96.8767	99.9527	96.0653	99.9074	96.677	98.296	96.8144	96.7183	97.0732	96.7938	96.3948	96.7713	96.8094	96.8056	96.7187	98.2442	96.8163	96.7558	96.3118	96.7612	96.8017	96.8504	96.5351	96.7646	96.6679	99.8994	96.5897
gem08095s1v1	99.8205	100	99.8161	99.8879	99.905	97.2567	96.9476	99.9639	96.0965	99.9007	96.6071	98.3274	96.8295	96.7572	97.1126	96.8029	96.4235	96.732	96.7835	96.8134	96.7865	98.2796	96.865	96.7669	96.2842	96.773	96.74	96.806	96.5813	96.8021	96.6919	99.8457	96.5787
gem11788s1v1	99.8814	99.8237	100	99.8373	99.8144	97.1325	96.8489	99.9472	96.1661	99.9145	96.6556	98.2943	96.7815	96.7115	97.0296	96.7481	96.3167	96.7565	96.734	96.8169	96.7744	98.2038	96.8073	96.7099	96.2406	96.7336	96.763	96.7791	96.4725	96.7435	96.6165	99.8726	96.5049
gem11802s1v1	99.847	99.8688	99.8377	100	99.9389	97.1997	96.9129	99.9181	96.1664	99.8945	96.6359	98.3361	96.8334	96.813	97.1124	96.8476	96.4116	96.8175	96.8512	96.8323	96.8184	98.3103	96.859	96.773	96.3282	96.8102	96.8257	96.8435	96.5966	96.8369	96.6979	99.8464	96.593
gem11806s1v1	99.8399	99.8822	99.8316	99.9119	100	97.1902	96.9128	99.9463	96.1208	99.9128	96.6837	98.3238	96.7895	96.7384	97.1214	96.7442	96.3844	96.7356	96.7719	96.7819	96.7679	98.3235	96.7749	96.7904	96.1704	96.719	96.7398	96.8073	96.5897	96.7764	96.6674	99.8609	96.5201
gem11804s1v1	97.1659	97.1453	97.1606	97.1292	97.1039	100	97.4411	97.2206	96.5826	97.1446	96.8861	97.2074	97.1522	97.0928	97.1181	97.1668	96.7824	97.1199	97.1042	97.1219	97.1169	97.0686	97.2615	97.1211	96.596	97.1105	97.1835	97.1308	96.9384	97.1125	97.089	97.1282	96.9154
Met7028_bin9	96.9433	96.9644	96.8539	96.9319	96.9001	97.4265	100	97.0086	96.7533	96.9491	96.9373	97.0147	97.3531	97.3108	97.1664	97.2873	96.8714	97.3309	97.3268	97.3321	97.3663	96.9215	97.42	97.313	96.7347	97.3142	97.3486	97.3937	96.9348	97.2735	97.1903	96.8825	96.9991
Met7034_bin2	99.9699	99.9745	99.9638	99.9181	99.9648	97.2721	96.9272	100	96.1105	99.9751	96.6694	98.3819	96.8153	96.7603	97.151	96.8158	96.4183	96.7278	96.7382	96.7654	96.773	98.4508	96.841	96.7771	96.2992	96.7856	96.7903	96.8345	96.4663	96.7448	96.659	99.9063	96.5647
Met8734_bin1	96.7221	96.76	96.7371	96.8266	96.7619	97.2253	97.3477	96.7517	100	96.7471	98.7437	96.9884	99.8853	99.9636	98.5413	99.9196	98.9233	99.9022	99.9343	99.9173	99.9424	96.8332	98.5696	99.9551	98.245	99.9768	99.962	99.9236	99.3112	99.9456	99.6506	96.6416	98.9733
Met7045_bin12	99.8935	99.8955	99.8962	99.9161	99.8987	97.2607	96.928	99.9578	96.1792	100	96.6736	98.4437	96.8025	96.8046	97.1025	96.8215	96.3261	96.7677	96.8186	96.8391	96.8089	98.451	96.8744	96.8064	96.2156	96.8175	96.8246	96.8275	96.4922	96.8083	96.7433	99.8581	96.5158
