	Met7037_bin3	Met7056_bin6	Met7064_bin2	Met7066_bin4	Met8786_bin4	Met8816_bin1	Met8834_bin3	Met9028_bin6	Met9037_bin11	Met9075_bin16	Met9095_bin6	Met9126_bin30	Met9132_bin1
Met7037_bin3	100.0	99.8606	99.956	99.0296	99.8717	99.7305	99.8454	99.8901	99.9407	99.2525	99.8566	99.8749	99.924
Met7056_bin6	99.1389	100.0	99.9494	99.2914	99.8824	99.6913	99.9298	99.8987	99.9588	99.5471	99.8781	99.9336	99.9452
Met7064_bin2	99.1661	99.8371	100.0	99.3216	99.8841	99.6075	99.9225	99.9293	99.929	99.46	99.874	99.9313	99.9601
Met7066_bin4	98.6439	99.8829	99.9409	100.0	99.8031	99.4955	99.9365	99.8871	99.9143	99.4282	99.8406	99.9228	99.8872
Met8786_bin4	99.0297	99.891	99.9243	99.1612	100.0	99.5742	99.9031	99.9435	99.9465	99.4542	99.8581	99.9183	99.9546
Met8816_bin1	99.0307	99.8726	99.8779	99.1703	99.831	99.9999	99.8617	99.7692	99.8694	99.3067	99.7512	99.9213	99.8751
Met8834_bin3	99.1243	99.8783	99.8902	99.3379	99.8504	99.6317	100.0	99.8605	99.9065	99.392	99.8023	99.9658	99.9195
Met9028_bin6	99.0292	99.8958	99.9603	99.2391	99.9037	99.6983	99.9624	100.0	99.9067	99.5854	99.9805	99.9406	99.9764
Met9037_bin11	99.233	99.9205	99.8972	99.2976	99.8849	99.6934	99.8904	99.9178	100.0	99.539	99.8615	99.8657	99.878
Met9075_bin16	98.6601	99.5584	99.5266	98.9304	99.5324	99.3131	99.4927	99.658	99.647	100.0	99.4876	99.5163	99.5886
Met9095_bin6	99.0786	99.762	99.8074	99.2063	99.7729	99.5274	99.7771	99.9586	99.8463	99.4811	100.0	99.7776	99.8821
Met9126_bin30	99.0661	99.8628	99.928	99.3012	99.8177	99.621	99.9664	99.8845	99.9188	99.3892	99.7964	100.0	99.9322
Met9132_bin1	99.2137	99.9264	99.9715	99.2599	99.9246	99.568	99.9551	99.98	99.9607	99.5415	99.9597	99.9678	100.0
